date,iv
2025-05-18,0.7867452966308592
2025-05-21,1.0991255981445316
2025-05-22,1.0000000000000003e-05
2025-05-22,1.0000000000000003e-05
2025-05-22,1.0000000000000003e-05
2025-05-22,1.267093508300781
2025-05-25,0.40344834838867194
2025-05-27,1.0000000000000003e-05
2025-05-28,0.007822421875
2025-06-01,0.2838206384277343
2025-06-02,0.2708813146972656
2025-06-06,1.0000000000000003e-05
2025-06-07,0.2500075
2025-06-07,0.2500075
2025-06-10,1.0000000000000003e-05
2025-06-11,0.3156806713867187
2025-06-11,0.20716124877929684
2025-06-12,0.015634843750000002
