date,iv
2025-05-18,0.401373173828125
2025-05-21,0.192390888671875
2025-05-22,0.015634843750000002
2025-05-22,0.015634843750000002
2025-05-22,0.015634843750000002
2025-05-22,0.17774259765625
2025-05-23,1.0000000000000003e-05
2025-05-25,0.340826904296875
2025-05-28,1.0000000000000003e-05
2025-05-28,1.0000000000000003e-05
2025-06-01,0.20313296874999998
2025-06-01,0.20313296874999998
2025-06-01,0.20313296874999998
2025-06-02,0.1757894921875
2025-06-06,0.007822421875
2025-06-07,0.1772543212890625
2025-06-07,0.1772543212890625
2025-06-10,1.0000000000000003e-05
2025-06-11,0.327155166015625
2025-06-11,0.19043778320312502
2025-06-12,1.0000000000000003e-05
2025-06-16,1.0000000000000003e-05
2025-07-28,0.5214891601562499
