date,iv
2025-05-18,0.25226577819824214
2025-05-21,0.26319096191406255
2025-05-22,1.0000000000000003e-05
2025-05-22,1.0000000000000003e-05
2025-05-22,1.0000000000000003e-05
2025-05-22,0.26697510375976563
2025-05-23,0.007822421875
2025-05-25,0.42471888763427734
2025-05-28,1.0000000000000003e-05
2025-05-28,1.0000000000000003e-05
2025-06-01,0.25580578186035163
2025-06-01,0.25580578186035163
2025-06-01,0.25580578186035163
2025-06-02,0.2845530529785155
2025-06-06,1.0000000000000003e-05
2025-06-07,0.2074053869628906
2025-06-07,0.2074053869628906
2025-06-10,1.0000000000000003e-05
2025-06-11,0.2282181671142578
2025-06-11,0.3037789349365234
2025-06-12,1.0000000000000003e-05
2025-06-16,1.0000000000000003e-05
