date,iv
2025-05-18,0.18994950683593753
2025-05-21,0.19190261230468753
2025-05-22,1.0000000000000003e-05
2025-05-22,1.0000000000000003e-05
2025-05-22,1.0000000000000003e-05
2025-05-22,0.17188328125000002
2025-05-23,1.0000000000000003e-05
2025-05-25,0.1860432958984375
2025-05-28,1.0000000000000003e-05
2025-05-28,1.0000000000000003e-05
2025-06-01,0.1530846411132813
2025-06-02,0.16651224121093755
2025-06-06,1.0000000000000003e-05
2025-06-07,0.22364057617187497
2025-06-07,0.22364057617187497
2025-06-10,0.015634843750000002
2025-06-11,0.19043778320312502
2025-06-11,0.17090672851562502
2025-06-12,1.0000000000000003e-05
2025-06-16,1.0000000000000003e-05
