date,iv
2025-05-18,0.032236240234375005
2025-05-21,0.035165898437499996
2025-05-22,0.0039162109375
2025-05-22,0.0039162109375
2025-05-22,0.0039162109375
2025-05-22,0.0297948583984375
2025-05-25,0.04078107666015625
2025-05-27,0.0039162109375
2025-05-28,0.00196310546875
2025-06-01,0.034189345703125
2025-06-02,0.051767294921875
2025-06-06,0.0039162109375
2025-06-07,0.0507907421875
2025-06-07,0.0507907421875
2025-06-10,0.007822421875
2025-06-11,0.007822421875
2025-06-11,0.045419702148437505
2025-06-12,0.0039162109375
