date,iv
2025-05-18,0.4726615234375
2025-05-21,0.481450498046875
2025-05-22,1.0000000000000003e-05
2025-05-22,1.0000000000000003e-05
2025-05-22,1.0000000000000003e-05
2025-05-22,0.38867798828125
2025-05-25,0.463872548828125
2025-05-27,0.007822421875
2025-05-28,1.0000000000000003e-05
2025-06-01,0.5019581054687501
2025-06-02,0.3789124609375
2025-06-06,1.0000000000000003e-05
2025-06-07,0.4731497998046875
2025-06-07,0.4731497998046875
2025-06-10,1.0000000000000003e-05
2025-06-11,0.5083056982421875
2025-06-11,0.5039112109375
2025-06-12,1.0000000000000003e-05
2025-06-16,0.00196310546875
2025-07-28,0.5039112109375
2025-07-29,0.00196310546875
2025-07-29,0.647464462890625
2025-07-29,0.6289099609375001
2025-07-29,0.6630893066406252
2025-07-29,0.70312796875
2025-07-29,0.7202176416015625
