date,iv
2025-05-18,0.2580640600585938
2025-05-21,0.2778392529296875
2025-05-22,1.0000000000000003e-05
2025-05-22,1.0000000000000003e-05
2025-05-22,1.0000000000000003e-05
2025-05-22,0.22632609619140626
2025-05-23,1.0000000000000003e-05
2025-05-25,0.2902903002929687
2025-05-28,0.007822421875
2025-05-28,0.007822421875
2025-06-01,0.27436028381347655
2025-06-01,0.27436028381347655
2025-06-01,0.27436028381347655
2025-06-02,0.3078682495117187
2025-06-06,0.015634843750000002
2025-06-07,0.25965095825195317
2025-06-07,0.25965095825195317
2025-06-10,1.0000000000000003e-05
2025-06-11,0.3354558642578125
2025-06-11,0.17029638305664066
2025-06-12,1.0000000000000003e-05
2025-06-16,0.0039162109375
